main_image_id,image_path,color,model_name,product_type,style,material,fabric_type,pattern,item_shape
61TIicrCGzL,05/057914fa.jpg,V1 Pack Light Gray Crew,,ACCESSORY,,,,,
714DWpIfamL,34/342e401f.jpg,Black,,ACCESSORY,,,100% Cashmere,,
8133nCz-2CL,29/296472fa.jpg,Negro,Faux Fur Ear Muffs,ACCESSORY,Orejeras de piel sintética.,,100 % Poliéster,,
81eKdzWSNPL,a8/a85a31d9.jpg,Silver Dot,100% Silk Self-Tie Bow Tie,ACCESSORY,Classic Silk Self-tie Bow Tie,,100% Silk,,
91RTs8xc6ML,51/5145e844.jpg,,,ACCESSORY,,,100% cachemira,,
91XUQjscPfL,2c/2cbf4dba.jpg,,,ACCESSORY,,,,,
81S-wWBp10L,f3/f3feacad.jpg,British Blue/Soft Denim,,ACCESSORY,,,100% Cashmere,,
81XSZsWFspL,00/005ce104.jpg,BURG,,ACCESSORY,,,100 % Seda,,
618N+3cU3aL,ba/ba078df4.jpg,Black (Black),17036EV1336,ACCESSORY,Double Fastening,,100% Leather,,
71l3VDKOQ9L,d7/d756a31e.jpg,Camel,Jessie - Bufanda Rectangular Con Flecos,ACCESSORY,Jessie - Bufanda rectangular con flecos,,100 % Viscosa,,
61oDuCDvhML,e1/e16c219d.jpg,01#1 Pack Multicoloured 3,,ACCESSORY,,,,,
71WO4Ek6zxL,62/621a2471.jpg,B#black-vb,,ACCESSORY,,,,,
81vpHKThxWL,ab/ab352640.jpg,Red/Navy,,ACCESSORY,,,100% Silk,,
917gRkcN3RL,78/7876e477.jpg,Weird Smile*1,,ACCESSORY,,,,,
61mmDuBMKtL,43/43b023be.jpg,Azul,,ACCESSORY,,,100 % Seda,,
910896VdaeL,2d/2df26909.jpg,Black/White/Vapor Grey,"6-pack Adult Unisex 3"" Wrist Band",ACCESSORY,"6-pack Adult Unisex 3"" Wrist Band",,100% Polyester,,
81Q1mlRJJOL,36/36f2cff1.jpg,Marrón,Casual Skinny Jean Cinturón Con Hebilla de Una Sola Punta.,ACCESSORY,Casual Skinny Jean cinturón con hebilla de una sola punta.,,,,
61K7MJo7ZyL,4d/4db297d7.jpg,Camo 4 a,,ACCESSORY,,,,,
918+Vq7fuRL,3a/3a98a075.jpg,White Medallion,100% Silk Pocket Square,ACCESSORY,100% Silk Pocket Square,,100 % Seide,,
91HdkshJThL,55/551ef19e.jpg,,,ACCESSORY,8-pack Burp Cloth and Bib Set,,,,
51fdcc+reNL,cf/cf59a9ce.jpg,#Beach Surfing,,ACCESSORY,,,,,
81kbsOSFH8L,3d/3d8145f4.jpg,,,ACCESSORY,,,100% Silk,,
717IONK7V9L,fe/fed6867d.jpg,Black,Classic Dress Belt,ACCESSORY,Classic Dress Belt,Leather,"40% Bonded Leather, 38% Polyurethane, 22% Polyester",,
61ZWwVHjiIL,f8/f8bf2158.jpg,Light Blue&light Grey Tartan,,ACCESSORY,,,,,
51XOTmu8UwL,23/2357a7e0.jpg,Blue,,ACCESSORY,,,,,
917h42c4U+L,9f/9fcab500.jpg,Multi,7-pack Teething Bibs,ACCESSORY,7-pack Teething Bibs,,100% Cotton,,
81yZCEDU7cL,aa/aa03a074.jpg,#Pink Camouflage,,ACCESSORY,,,,,
71pcxxq9l0L,88/88421f37.jpg,Multicolour (Black/Tan),1811MBS-EV-3388,ACCESSORY,Reversible Belt,,100% Leather,,
81zAgNgNRZL,2d/2d8cef88.jpg,Taupe Pebble,,ACCESSORY,,,,,
818zHC2hiRL,96/9650257a.jpg,Red,,ACCESSORY,,,42% Nylon/38% Viscose/16% Wool/4% Rabbit Hair,,
91NOoCA5juL,b2/b25648e3.jpg,Rood,Classic Dots Necktie,ACCESSORY,Klassieke stippen halsband,,100% Polyester,,
71kimdx9yuL,be/bea1f060.jpg,Negro,Juego de Gorro Y Bufanda de Punto,ACCESSORY,Juego de gorro y bufanda de punto,,"57% algodón, 28% acrílico, 15% poliéster",,
811RRryPAkL,15/155caa59.jpg,,,ACCESSORY,,,100 % Seda,,
910IrqlnXyL,03/03bb0385.jpg,Lichtblauw/Navy dunne streep (Contrast Staart: Stippen),"Classic Silk 3"" Necktie",ACCESSORY,"Klassieke zijden halsband van 7,6 cm",,100% zijde,,
81W5Y9f60LL,1f/1f873821.jpg,Colour 02,,ACCESSORY,,,,,
